1770414773079955373 R2_IDLE_A seconds=60
1770414833083994147 PROBE_A_START program=LOW
1770414833097164464 PROBE_A_END program=LOW
1770414833300018686 PROBE_A_START program=LOW
1770414833312263355 PROBE_A_END program=LOW
1770414833515051373 PROBE_A_START program=LOW
1770414833528027820 PROBE_A_END program=LOW
1770414833730817301 PROBE_A_START program=LOW
1770414833742926599 PROBE_A_END program=LOW
1770414833945736358 PROBE_A_START program=LOW
1770414833957909415 PROBE_A_END program=LOW
1770414834160721433 PROBE_A_START program=LOW
1770414834173737954 PROBE_A_END program=LOW
1770414834376559454 PROBE_A_START program=LOW
1770414834388754178 PROBE_A_END program=LOW
1770414834591571492 PROBE_A_START program=LOW
1770414834604621254 PROBE_A_END program=LOW
1770414834807424920 PROBE_A_START program=LOW
1770414834819576144 PROBE_A_END program=LOW
1770414835022363162 PROBE_A_START program=LOW
1770414835034486608 PROBE_A_END program=LOW
1770414835237306663 PROBE_A_START program=LOW
1770414835249441850 PROBE_A_END program=LOW
1770414835452536739 PROBE_A_START program=LOW
1770414835466191168 PROBE_A_END program=LOW
1770414835668985224 PROBE_A_START program=LOW
1770414835681956300 PROBE_A_END program=LOW
1770414835884785744 PROBE_A_START program=LOW
1770414835897780914 PROBE_A_END program=LOW
1770414836100570821 PROBE_A_START program=LOW
1770414836113418916 PROBE_A_END program=LOW
1770414836316180823 PROBE_A_START program=LOW
1770414836328323046 PROBE_A_END program=LOW
1770414836531032879 PROBE_A_START program=LOW
1770414836542633916 PROBE_A_END program=LOW
1770414836745310508 PROBE_A_START program=LOW
1770414836757886621 PROBE_A_END program=LOW
1770414836960660843 PROBE_A_START program=LOW
1770414836972703604 PROBE_A_END program=LOW
1770414837175472066 PROBE_A_START program=LOW
1770414837188538754 PROBE_A_END program=LOW
1770414837391309698 PROBE_A_START program=LOW
1770414837404385275 PROBE_A_END program=LOW
1770414837607073478 PROBE_A_START program=LOW
1770414837620038480 PROBE_A_END program=LOW
1770414837822837443 PROBE_A_START program=LOW
1770414837834995592 PROBE_A_END program=LOW
1770414838037730443 PROBE_A_START program=LOW
1770414838049424000 PROBE_A_END program=LOW
1770414838252272221 PROBE_A_START program=LOW
1770414838265359835 PROBE_A_END program=LOW
1770414838468071575 PROBE_A_START program=LOW
1770414838480673392 PROBE_A_END program=LOW
1770414838683405595 PROBE_A_START program=LOW
1770414838695511559 PROBE_A_END program=LOW
1770414838898309762 PROBE_A_START program=LOW
1770414838911422562 PROBE_A_END program=LOW
1770414839114269320 PROBE_A_START program=LOW
1770414839127204286 PROBE_A_END program=LOW
1770414839329943674 PROBE_A_START program=LOW
1770414839342134064 PROBE_A_END program=LOW
1770414839544954693 PROBE_A_START program=LOW
1770414839557928529 PROBE_A_END program=LOW
1770414839760705436 PROBE_A_START program=LOW
1770414839773822365 PROBE_A_END program=LOW
1770414839976652160 PROBE_A_START program=LOW
1770414839989628256 PROBE_A_END program=LOW
1770414840192406903 PROBE_A_START program=LOW
1770414840205621017 PROBE_A_END program=LOW
1770414840408412183 PROBE_A_START program=LOW
1770414840420464666 PROBE_A_END program=LOW
1770414840623335091 PROBE_A_START program=LOW
1770414840636308538 PROBE_A_END program=LOW
1770414840839227389 PROBE_A_START program=LOW
1770414840851521372 PROBE_A_END program=LOW
1770414841054472224 PROBE_A_START program=LOW
1770414841067916561 PROBE_A_END program=LOW
1770414841270770430 PROBE_A_START program=LOW
1770414841282839654 PROBE_A_END program=LOW
1770414841485720282 PROBE_A_START program=LOW
1770414841498841897 PROBE_A_END program=LOW
1770414841701695488 PROBE_A_START program=LOW
1770414841714885769 PROBE_A_END program=LOW
1770414841917737342 PROBE_A_START program=LOW
1770414841929879085 PROBE_A_END program=LOW
1770414842132774010 PROBE_A_START program=LOW
1770414842144845955 PROBE_A_END program=LOW
1770414842347756955 PROBE_A_START program=LOW
1770414842360851532 PROBE_A_END program=LOW
1770414842563757790 PROBE_A_START program=LOW
1770414842576790997 PROBE_A_END program=LOW
1770414842779725774 PROBE_A_START program=LOW
1770414842792427628 PROBE_A_END program=LOW
1770414842995257849 PROBE_A_START program=LOW
1770414843008322741 PROBE_A_END program=LOW
1770414843211170722 PROBE_A_START program=LOW
1770414843223248334 PROBE_A_END program=LOW
1770414843426156722 PROBE_A_START program=LOW
