1770394915143919069 R2_IDLE_A seconds=60
1770394975147986112 PROBE_A_START program=LOW
1770394975160993878 PROBE_A_END program=LOW
1770394975363872014 PROBE_A_START program=LOW
1770394975376099167 PROBE_A_END program=LOW
1770394975578962081 PROBE_A_START program=LOW
1770394975591235827 PROBE_A_END program=LOW
1770394975794133333 PROBE_A_START program=LOW
1770394975807340099 PROBE_A_END program=LOW
1770394976010180550 PROBE_A_START program=LOW
1770394976022367963 PROBE_A_END program=LOW
1770394976225207654 PROBE_A_START program=LOW
1770394976238284438 PROBE_A_END program=LOW
1770394976441131019 PROBE_A_START program=LOW
1770394976453254839 PROBE_A_END program=LOW
1770394976656123474 PROBE_A_START program=LOW
1770394976668332609 PROBE_A_END program=LOW
1770394976871175523 PROBE_A_START program=LOW
1770394976884277011 PROBE_A_END program=LOW
1770394977087109128 PROBE_A_START program=LOW
1770394977099245430 PROBE_A_END program=LOW
1770394977302088806 PROBE_A_START program=LOW
1770394977315104609 PROBE_A_END program=LOW
1770394977517966578 PROBE_A_START program=LOW
1770394977531046085 PROBE_A_END program=LOW
1770394977734054629 PROBE_A_START program=LOW
1770394977747981489 PROBE_A_END program=LOW
1770394977950822366 PROBE_A_START program=LOW
1770394977962950834 PROBE_A_END program=LOW
1770394978165832303 PROBE_A_START program=LOW
1770394978178824736 PROBE_A_END program=LOW
1770394978381673445 PROBE_A_START program=LOW
1770394978394614434 PROBE_A_END program=LOW
1770394978597431180 PROBE_A_START program=LOW
1770394978610547410 PROBE_A_END program=LOW
1770394978813401008 PROBE_A_START program=LOW
1770394978826432200 PROBE_A_END program=LOW
1770394979029276021 PROBE_A_START program=LOW
1770394979042324454 PROBE_A_END program=LOW
1770394979245189182 PROBE_A_START program=LOW
1770394979257381688 PROBE_A_END program=LOW
1770394979460210972 PROBE_A_START program=LOW
1770394979473964202 PROBE_A_END program=LOW
1770394979676788060 PROBE_A_START program=LOW
1770394979689157473 PROBE_A_END program=LOW
1770394979891999924 PROBE_A_START program=LOW
1770394979904250836 PROBE_A_END program=LOW
1770394980107058787 PROBE_A_START program=LOW
1770394980119232533 PROBE_A_END program=LOW
1770394980322085002 PROBE_A_START program=LOW
1770394980334220507 PROBE_A_END program=LOW
1770394980537060457 PROBE_A_START program=LOW
1770394980549261018 PROBE_A_END program=LOW
1770394980752109006 PROBE_A_START program=LOW
1770394980765219235 PROBE_A_END program=LOW
1770394980968062445 PROBE_A_START program=LOW
1770394980980265506 PROBE_A_END program=LOW
1770394981183088604 PROBE_A_START program=LOW
1770394981196358704 PROBE_A_END program=LOW
1770394981399186747 PROBE_A_START program=LOW
1770394981412179199 PROBE_A_END program=LOW
1770394981614945575 PROBE_A_START program=LOW
1770394981627047562 PROBE_A_END program=LOW
1770394981829909142 PROBE_A_START program=LOW
1770394981842047110 PROBE_A_END program=LOW
1770394982044901153 PROBE_A_START program=LOW
1770394982057925197 PROBE_A_END program=LOW
1770394982260683018 PROBE_A_START program=LOW
1770394982272437170 PROBE_A_END program=LOW
1770394982475146713 PROBE_A_START program=LOW
1770394982486942847 PROBE_A_END program=LOW
