procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  1      0 3675808  74688 174512    0    0   163    61  282    0  0  0 99  0  0  0
 1  0      0 3631760  77344 173728    0    0     0  5016 4769 8095  4  9 73 14  0  0
 1  1      0 3608512  78096 174544    0    0     0  5248 4959 8492  3 12 72 13  0  0
 0  1      0 3608944  78848 174656    0    0     0  5256 5018 8627  3 11 73 13  0  0
 0  1      0 3613040  79568 174624    0    0     0  5304 5026 8726  5  9 73 13  0  0
 2  1      0 3601104  80144 174944    0    0     0  5032 4918 8342  3 12 72 14  0  0
 1  0      0 3585200  80784 174800    0    0     0  5312 5261 8972  5 10 72 13  0  0
 1  0      0 3581344  81312 174944    0    0     0  5344 5036 8741  4 10 73 13  0  0
 0  1      0 3597568  81952 175152    0    0     0  5000 4810 8111  3 11 72 13  0  0
 0  1      0 3603840  81952 175216    0    0     0  5200 4957 8443  5 10 72 13  0  0
 1  0      0 3584192  82720 174992    0    0     0  4416 4463 7359  3  9 71 16  0  0
 0  1      0 3599120  82928 175232    0    0     0  5080 4963 8194  4 10 73 14  0  0
 0  1      0 3576176  82928 175232    0    0     0  5284 5004 8675  4 11 72 13  0  0
 4  0      0 3565216  83072 175248    0    0     0  5076 4777 8205  4 11 72 13  0  0
 0  1      0 3558224  83712 174912    0    0     0  4952 4775 8009  5 10 71 14  0  0
