run_id,off_sec,retry_events,dt_p95_ms,dt_p99_ms,dt_max_ms,dt_top10_str,dt_top1_ms,dt_top2_ms,dt_top3_ms,dt_top4_ms,dt_top5_ms,dt_top6_ms,dt_top7_ms,dt_top8_ms,dt_top9_ms,dt_top10_ms
2026-01-13_191151_day4_off1,1,105.0,558.0,1984.0,2378.0,287 311 322 558 737 1889 1958 1984 2084 2378,287,311,322,558,737,1889,1958,1984,2084,2378
2026-01-13_190427_day4_off2,2,123.0,314.0,543.0,1736.0,294 305 314 322 354 426 433 543 1200 1736,294,305,314,322,354,426,433,543,1200,1736
2026-01-13_185617_day4_off3,3,105.0,421.0,1827.0,2332.0,400 403 420 421 425 427 1823 1827 1908 2332,400,403,420,421,425,427,1823,1827,1908,2332
2026-01-13_184715_day4_off4,4,81.0,410.0,932.0,1882.0,295 310 315 389 410 435 441 910 932 1882,295,310,315,389,410,435,441,910,932,1882
2026-01-13_175807_day4_off6,6,525.0,177.0,222.0,764.0,211 216 221 222 229 230 291 306 421 764,211,216,221,222,229,230,291,306,421,764
2026-01-13_181659_day4_off6,6,90.0,420.0,1393.0,1535.0,352 398 400 417 420 442 456 745 1393 1535,352,398,400,417,420,442,456,745,1393,1535
2026-01-13_183633_day4_off6,6,83.0,365.0,869.0,1855.0,314 320 337 339 365 394 407 441 869 1855,314,320,337,339,365,394,407,441,869,1855
