procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 3241312  91936 555824    0    0    37   256  475    1  0  1 99  1  0  0
 0  1      0 3254912  91936 555872    0    0     0  4272 4430 7195  4  9 73 15  0  0
 1  0      0 3244480  91936 555872    0    0     0  5052 4934 8179  4 10 72 14  0  0
 0  1      0 3237600  91936 555872    0    0     0  5388 4937 8373  4 11 72 14  0  0
 1  0      0 3202896  91936 555872    0    0     0  5880 5051 8380  5 10 72 13  0  0
 1  0      0 3164784  91936 555872    0    0     0  5992 5224 8783  4  9 73 13  0  0
 0  1      0 3192176  91936 555888    0    0     0  5124 4645 7635  3 10 72 14  0  0
 1  1      0 3190288  91936 555888    0    0     0  5664 5058 8418  4 11 72 13  0  0
 1  0      0 3196288  91936 555888    0    0     0  5392 4918 8140  3 10 72 14  0  0
 1  0      0 3175456  91936 555888    0    0     0  5688 5230 8699  4 10 73 14  0  0
 0  1      0 3181408  91936 555888    0    0     0  4744 4437 7230  4 10 71 15  0  0
 1  0      0 3180096  91936 555888    0    0     0  5336 4861 8126  4 10 72 14  0  0
 0  1      0 3173536  91936 555888    0    0     0  5600 4946 8299  6  9 72 13  0  0
 1  0      0 3162304  91936 555872    0    0     0  5292 5241 8832  4 10 72 13  0  0
 2  0      0 3156096  91936 555872    0    0     0  5144 5257 8639  4 10 72 13  0  0
 1  0      0 3157472  91936 555872    0    0     0  5260 5170 8629  5 11 71 13  0  0
 0  1      0 3177872  91936 555872    0    0     0  5904 5945 9853  5 12 72 12  0  0
 1  0      0 3188736  91936 555872    0    0     0  4416 4618 7427  3 11 71 15  0  0
 1  0      0 3199696  91936 555904    0    0     0  5652 5538 9295  3 12 72 12  0  0
 0  1      0 3203792  91936 555904    0    0     0  5960 5677 9582  5 10 72 12  0  0
 0  1      0 3179280  91936 555904    0    0     0  2948 3562 5289  2  6 72 19  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3178256  91936 555904    0    0     0  5564 5374 8904  4 11 72 13  0  0
 3  0      0 3185008  91936 555904    0    0     0  5928 5666 9701  4 12 72 12  0  0
 1  0      0 3170688  91936 555904    0    0     0  4188 4256 7035  3  9 72 15  0  0
 0  1      0 3181792  91936 555904    0    0     0  6252 5593 9418  4 12 72 12  0  0
 1  0      0 3193600  91936 555904    0    0     0  6416 5734 9563  4 11 73 12  0  0
 1  0      0 3191344  91936 555904    0    0     0  4588 4415 7230  3  9 73 15  0  0
 1  0      0 3185088  91936 555904    0    0     0  6500 5448 9494  6 10 72 12  0  0
 0  1      0 3194672  91936 555904    0    0     0  5812 4966 8363  3 11 72 14  0  0
 0  1      0 3192976  91936 555904    0    0     0  4276 4220 6836  3  7 73 16  0  0
 1  1      0 3188128  91936 555920    0    0     0  4192 4089 6567  3  8 71 18  0  0
 2  0      0 3196464  91936 555920    0    0     0  6348 5526 9521  4 11 72 12  0  0
 1  0      0 3183760  91936 555920    0    0     0  5312 5049 8399  4 10 73 14  0  0
 1  1      0 3159856  91936 555920    0    0     0  5460 4544 7689  4 10 71 15  0  0
 1  1      0 3183168  91936 555920    0    0     0  5644 4866 8337  4 10 72 14  0  0
 0  1      0 3189168  91936 555920    0    0     0  4204 3915 6607  3  9 72 16  0  0
 0  1      0 3205536  91936 555920    0    0     0  2844 3169 4940  2  7 72 19  0  0
 2  0      0 3188528  91936 555936    0    0     0  5260 5088 8629  3 12 72 13  0  0
 1  0      0 3171360  91936 555936    0    0     0  5260 5092 8703  4 11 72 13  0  0
 0  2      0 3179840  91936 555936    0    0     0  4184 4233 6959  3  9 72 15  0  0
 1  0      0 3175760  91936 555936    0    0     0  5176 5074 8477  4 11 72 13  0  0
 1  1      0 3197520  91936 555936    0    0     0  5484 5123 8710  4  9 73 13  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3188800  91936 555936    0    0     0  4916 4863 8090  4 11 72 14  0  0
 1  0      0 3144592  91936 555952    0    0     0  5288 5049 8601  4 11 73 13  0  0
 0  1      0 3139968  91936 555952    0    0     0  5684 5606 9506  3 11 73 13  0  0
 0  1      0 3153216  91936 555952    0    0     0  5936 5643 9662  4 12 72 12  0  0
 1  0      0 3147440  91936 555952    0    0     0  4192 4305 7090  4  9 73 15  0  0
 1  0      0 3171792  91936 555952    0    0     0  5904 5494 9496  4 11 73 12  0  0
 0  1      0 3175488  91936 555952    0    0     0  5616 5534 9232  4 11 72 12  0  0
