procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3257264  91936 556624    0    0    34   326  600    1  0  1 98  1  0  0
 0  1      0 3219088  91936 556656    0    0     0  5988 5570 9302  4 11 72 12  0  0
 2  0      0 3194336  91936 556656    0    0     0  3544 3664 5695  2  7 73 17  0  0
 0  1      0 3206880  91936 556672    0    0     0  2408 2661 3964  1  5 74 20  0  0
 1  0      0 3206480  91936 556672    0    0     0  5692 5212 8830  5 10 73 13  0  0
 0  1      0 3203024  91936 556672    0    0     0  5204 5030 8245  3 12 71 14  0  0
 1  0      0 3189840  91936 556672    0    0     0  5584 5266 8747  4 11 72 13  0  0
 2  0      0 3192608  91936 556672    0    0     0  6164 5297 9216  5 11 72 12  0  0
 1  0      0 3170288  91936 556672    0    0     0  4876 4530 7481  4 10 72 15  0  0
 0  1      0 3203808  91936 556688    0    0     0  5868 5355 9012  4 12 72 12  0  0
 0  1      0 3174608  91936 556688    0    0     0  6256 5512 9476  5 10 73 12  0  0
 1  0      0 3176464  91936 556688    0    0     0  3428 3681 5683  2  8 72 18  0  0
 2  0      0 3156416  91936 556688    0    0     0  5160 4801 7989  5  9 72 14  0  0
 0  1      0 3152704  91936 556688    0    0     0  5304 4849 8202  3 11 73 13  0  0
 0  1      0 3172304  91936 556688    0    0     0  5092 5180 8591  4 10 73 14  0  0
 1  0      0 3171008  91936 556688    0    0     0  5260 4426 8123  4 12 72 13  0  0
 0  2      0 3178672  91936 556688    0    0     0  5108 4212 7818  4 10 73 13  0  0
 1  0      0 3187568  91936 556688    0    0     0  5220 5154 8497  4 11 71 14  0  0
 0  1      0 3198688  91936 556704    0    0     0  5264 5163 8526  4 10 73 13  0  0
 0  1      0 3186656  91936 556704    0    0     0  4044 4084 6843  3  9 71 17  0  0
 1  0      0 3141904  91936 556704    0    0     0  5196 4974 8220  3 11 72 14  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 3165504  91936 556720    0    0     0  5532 4985 8469  4 10 73 13  0  0
 1  0      0 3165424  91936 556720    0    0     0  5552 5136 8556  4 11 72 13  0  0
 1  0      0 3189328  91936 556720    0    0     0  5372 4853 8159  4 11 72 13  0  0
 0  1      0 3182016  91936 556720    0    0     0  5520 5303 8867  5 10 72 13  0  0
 3  0      0 3190272  91936 556720    0    0     0  5204 5110 8399  3 11 72 14  0  0
 1  0      0 3171968  91936 556720    0    0     0  5552 4931 8164  5 11 71 13  0  0
 1  0      0 3174912  91936 556720    0    0     0  5832 5425 9247  4 12 72 12  0  0
 1  0      0 3161728  91936 556720    0    0     0  6308 5377 9428  4 11 72 12  0  0
 3  0      0 3166944  91936 556720    0    0     0  3324 3742 5735  3  7 71 19  0  0
 1  0      0 3182160  91936 556720    0    0     0  6124 5603 9526  3 13 72 12  0  0
 1  0      0 3195824  91936 556720    0    0     0  5460 5171 8607  4 11 70 15  0  0
 1  0      0 3200656  91936 556720    0    0     0  3496 3764 5969  3  7 73 18  0  0
 0  1      0 3187504  91936 556720    0    0     0  4832 4764 7712  4 10 72 15  0  0
 1  0      0 3177712  91936 556736    0    0     0  5500 5106 8609  4 11 72 13  0  0
 0  1      0 3174624  91936 556736    0    0     0  5288 4813 8048  4 10 73 14  0  0
 2  1      0 3161616  91936 556736    0    0     0  5544 5259 8808  4 10 73 13  0  0
 0  1      0 3183312  91936 556752    0    0     0  5692 5131 8862  5 11 72 13  0  0
 0  1      0 3157648  91936 556752    0    0     0  3144 3296 5356  3  6 69 22  0  0
 1  0      0 3124960  91936 556752    0    0     0  5460 5053 8584  3 11 73 13  0  0
 1  0      0 3136608  91936 556752    0    0     0  5916 5300 9026  5 11 72 12  0  0
 1  0      0 3153392  91936 556752    0    0     0  4820 4637 7540  3 11 72 15  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 3154448  91936 556752    0    0     0  5440 5278 8675  3 12 72 13  0  0
 0  1      0 3141024  91936 556752    0    0     0  6060 5512 9524  4 13 71 12  0  0
 1  0      0 3174752  91936 556752    0    0     0  4452 4438 7324  3  9 73 15  0  0
 0  1      0 3194288  91936 556752    0    0     0  5648 5169 9041  3 12 72 12  0  0
 0  1      0 3134112  91936 556768    0    0     0  5932 5721 9757  4 12 72 12  0  0
 1  0      0 3138240  91936 556768    0    0     0  3096 3339 5169  3  7 72 19  0  0
 0  1      0 3173024  91936 556768    0    0     0  5944 5534 9368  5 10 72 12  0  0
 1  0      0 3159456  91936 556768    0    0     0  6216 5355 9350  5 11 73 12  0  0
 0  1      0 3202304  91936 556768    0    0     0  4364 4146 6915  4  9 71 16  0  0
