timestamp,off_sec,retry_events,p95_ms,p99_ms,top1_ms,top2_ms,top3_ms,top4_ms,top5_ms,top6_ms,top7_ms,top8_ms,top9_ms,top10_ms
2026-01-13_175807,6,525,177,222,211,216,221,222,229,230,291,306,421,764
2026-01-13_181659,6,90,420,1393,352,398,400,417,420,442,456,745,1393,1535
2026-01-13_183633,6,83,365,869,314,320,337,339,365,394,407,441,869,1855
2026-01-13_184715,4,81,410,932,295,310,315,389,410,435,441,910,932,1882
2026-01-13_185617,3,105,421,1827,400,403,420,421,425,427,1823,1827,1908,2332
2026-01-13_190427,2,123,314,543,294,305,314,322,354,426,433,543,1200,1736
2026-01-13_191151,1,105,558,1984,287,311,322,558,737,1889,1958,1984,2084,2378
