1770393355294605460 R2_IDLE_A seconds=60
1770393415298541804 PROBE_A_START program=LOW
1770393416120140380 PROBE_A_END program=LOW
1770393416322984566 PROBE_A_START program=LOW
1770393416335226104 PROBE_A_END program=LOW
1770393416538145439 PROBE_A_START program=LOW
1770393416551055034 PROBE_A_END program=LOW
1770393416753899516 PROBE_A_START program=LOW
1770393416767221834 PROBE_A_END program=LOW
1770393416970063798 PROBE_A_START program=LOW
1770393416982319985 PROBE_A_END program=LOW
1770393417185163653 PROBE_A_START program=LOW
1770393417198231878 PROBE_A_END program=LOW
1770393417401060916 PROBE_A_START program=LOW
1770393417414033549 PROBE_A_END program=LOW
1770393417616859549 PROBE_A_START program=LOW
1770393417629999682 PROBE_A_END program=LOW
1770393417832830665 PROBE_A_START program=LOW
1770393417845844205 PROBE_A_END program=LOW
1770393418048706613 PROBE_A_START program=LOW
1770393418061754542 PROBE_A_END program=LOW
1770393418264608543 PROBE_A_START program=LOW
1770393418276679322 PROBE_A_END program=LOW
1770393418479503249 PROBE_A_START program=LOW
1770393418492677512 PROBE_A_END program=LOW
1770393418695691680 PROBE_A_START program=LOW
1770393418708067663 PROBE_A_END program=LOW
1770393418910855257 PROBE_A_START program=LOW
1770393418923757723 PROBE_A_END program=LOW
1770393419126527057 PROBE_A_START program=LOW
1770393419139457078 PROBE_A_END program=LOW
1770393419342246894 PROBE_A_START program=LOW
1770393419355155193 PROBE_A_END program=LOW
1770393419558001028 PROBE_A_START program=LOW
1770393419570193418 PROBE_A_END program=LOW
1770393419772999419 PROBE_A_START program=LOW
1770393419785238310 PROBE_A_END program=LOW
1770393419988026311 PROBE_A_START program=LOW
1770393420001016685 PROBE_A_END program=LOW
1770393420203866797 PROBE_A_START program=LOW
1770393420216900393 PROBE_A_END program=LOW
1770393420419691023 PROBE_A_START program=LOW
1770393420433261027 PROBE_A_END program=LOW
1770393420636049084 PROBE_A_START program=LOW
1770393420648269623 PROBE_A_END program=LOW
1770393420851077791 PROBE_A_START program=LOW
1770393420864185812 PROBE_A_END program=LOW
1770393421066988647 PROBE_A_START program=LOW
1770393421079098760 PROBE_A_END program=LOW
1770393421281927965 PROBE_A_START program=LOW
1770393421294177837 PROBE_A_END program=LOW
1770393421497037987 PROBE_A_START program=LOW
1770393421510166953 PROBE_A_END program=LOW
1770393421713013010 PROBE_A_START program=LOW
1770393421725058567 PROBE_A_END program=LOW
