1770408274779126804 R2_IDLE_A seconds=20
1770408294783098095 PROBE_A_START program=HIGH
1770408294795290131 PROBE_A_END program=HIGH
1770408294998145410 PROBE_A_START program=HIGH
1770408295011261764 PROBE_A_END program=HIGH
1770408295214109542 PROBE_A_START program=HIGH
1770408295226125393 PROBE_A_END program=HIGH
1770408295428978264 PROBE_A_START program=HIGH
1770408295442754287 PROBE_A_END program=HIGH
1770408295645567824 PROBE_A_START program=HIGH
1770408295658507159 PROBE_A_END program=HIGH
1770408295861334326 PROBE_A_START program=HIGH
1770408295874442143 PROBE_A_END program=HIGH
1770408296077271606 PROBE_A_START program=HIGH
1770408296089392754 PROBE_A_END program=HIGH
1770408296292182865 PROBE_A_START program=HIGH
1770408296304280364 PROBE_A_END program=HIGH
1770408296507100605 PROBE_A_START program=HIGH
1770408296519185641 PROBE_A_END program=HIGH
1770408296722036715 PROBE_A_START program=HIGH
1770408296735044254 PROBE_A_END program=HIGH
1770408296937883328 PROBE_A_START program=HIGH
1770408296950023217 PROBE_A_END program=HIGH
1770408297152844309 PROBE_A_START program=HIGH
1770408297165889774 PROBE_A_END program=HIGH
1770408297368758459 PROBE_A_START program=HIGH
1770408297381573146 PROBE_A_END program=HIGH
1770408297584392090 PROBE_A_START program=HIGH
1770408297597473907 PROBE_A_END program=HIGH
1770408297800361518 PROBE_A_START program=HIGH
1770408297813349557 PROBE_A_END program=HIGH
1770408298016257871 PROBE_A_START program=HIGH
1770408298028392426 PROBE_A_END program=HIGH
1770408298231316241 PROBE_A_START program=HIGH
1770408298243541907 PROBE_A_END program=HIGH
1770408298446445462 PROBE_A_START program=HIGH
1770408298458585962 PROBE_A_END program=HIGH
1770408298661488035 PROBE_A_START program=HIGH
1770408298674581519 PROBE_A_END program=HIGH
1770408298877503278 PROBE_A_START program=HIGH
1770408298889654204 PROBE_A_END program=HIGH
1770408299092624407 PROBE_A_START program=HIGH
1770408299106285726 PROBE_A_END program=HIGH
1770408299309184410 PROBE_A_START program=HIGH
1770408299321315058 PROBE_A_END program=HIGH
1770408299524212242 PROBE_A_START program=HIGH
1770408299536330131 PROBE_A_END program=HIGH
1770408299739282871 PROBE_A_START program=HIGH
1770408299751501148 PROBE_A_END program=HIGH
1770408299954316166 PROBE_A_START program=HIGH
1770408299966851463 PROBE_A_END program=HIGH
1770408300169697239 PROBE_A_START program=HIGH
1770408300182839501 PROBE_A_END program=HIGH
1770408300385752260 PROBE_A_START program=HIGH
1770408300397907963 PROBE_A_END program=HIGH
1770408300600816758 PROBE_A_START program=HIGH
1770408300612962980 PROBE_A_END program=HIGH
1770408300815854349 PROBE_A_START program=HIGH
1770408300827991478 PROBE_A_END program=HIGH
1770408301030884329 PROBE_A_START program=HIGH
1770408301045121835 PROBE_A_END program=HIGH
1770408301247883981 PROBE_A_START program=HIGH
1770408301259650757 PROBE_A_END program=HIGH
1770408301462455145 PROBE_A_START program=HIGH
1770408301474565237 PROBE_A_END program=HIGH
1770408301677433884 PROBE_A_START program=HIGH
1770408301690435719 PROBE_A_END program=HIGH
1770408301893350366 PROBE_A_START program=HIGH
1770408301905528699 PROBE_A_END program=HIGH
1770408302108471586 PROBE_A_START program=HIGH
1770408302120572530 PROBE_A_END program=HIGH
1770408302323458121 PROBE_A_START program=HIGH
1770408302335600509 PROBE_A_END program=HIGH
1770408302538511360 PROBE_A_START program=HIGH
1770408302551687751 PROBE_A_END program=HIGH
1770408302754664639 PROBE_A_START program=HIGH
1770408302768073346 PROBE_A_END program=HIGH
1770408302971011382 PROBE_A_START program=HIGH
