1770379968246104356 MemAvailable_kB=3900368 Dirty_kB=80 Writeback_kB=0 Slab_kB=55104 
1770379969249023914 MemAvailable_kB=3900672 Dirty_kB=80 Writeback_kB=0 Slab_kB=55104 
1770379970251997889 MemAvailable_kB=3901648 Dirty_kB=16 Writeback_kB=0 Slab_kB=55104 
1770379971255015039 MemAvailable_kB=3900144 Dirty_kB=32 Writeback_kB=0 Slab_kB=55104 
1770379972257977791 MemAvailable_kB=3899024 Dirty_kB=32 Writeback_kB=0 Slab_kB=55104 
1770379973260907829 MemAvailable_kB=3901472 Dirty_kB=48 Writeback_kB=0 Slab_kB=55104 
1770379974263866470 MemAvailable_kB=3900688 Dirty_kB=48 Writeback_kB=0 Slab_kB=55104 
1770379975266806397 MemAvailable_kB=3902560 Dirty_kB=16 Writeback_kB=0 Slab_kB=55120 
1770379976269768000 MemAvailable_kB=3901344 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379977272710649 MemAvailable_kB=3899952 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379978275636085 MemAvailable_kB=3901264 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379979278581345 MemAvailable_kB=3898976 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379980281477058 MemAvailable_kB=3900672 Dirty_kB=16 Writeback_kB=0 Slab_kB=55120 
1770379981284396207 MemAvailable_kB=3901168 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379982287331606 MemAvailable_kB=3901232 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379983290372755 MemAvailable_kB=3901488 Dirty_kB=80 Writeback_kB=0 Slab_kB=55120 
1770379984293275469 MemAvailable_kB=3901280 Dirty_kB=80 Writeback_kB=0 Slab_kB=55120 
1770379985296318989 MemAvailable_kB=3901888 Dirty_kB=0 Writeback_kB=0 Slab_kB=55120 
1770379986299390556 MemAvailable_kB=3902672 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379987302454891 MemAvailable_kB=3903280 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379988305448662 MemAvailable_kB=3903680 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379989308498831 MemAvailable_kB=3903152 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379990311478250 MemAvailable_kB=3900752 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379991314485068 MemAvailable_kB=3901920 Dirty_kB=16 Writeback_kB=0 Slab_kB=55120 
1770379992317441359 MemAvailable_kB=3902352 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770379993320439326 MemAvailable_kB=3902608 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379994323445766 MemAvailable_kB=3900736 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379995326434771 MemAvailable_kB=3899968 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379996329451694 MemAvailable_kB=3900544 Dirty_kB=16 Writeback_kB=0 Slab_kB=55120 
1770379997332444459 MemAvailable_kB=3901056 Dirty_kB=48 Writeback_kB=0 Slab_kB=55120 
1770379998335484642 MemAvailable_kB=3901504 Dirty_kB=96 Writeback_kB=0 Slab_kB=55120 
1770379999338476316 MemAvailable_kB=3900272 Dirty_kB=96 Writeback_kB=0 Slab_kB=55120 
1770380000341536538 MemAvailable_kB=3902272 Dirty_kB=96 Writeback_kB=0 Slab_kB=55120 
1770380001344597214 MemAvailable_kB=3903872 Dirty_kB=16 Writeback_kB=0 Slab_kB=55120 
1770380002347601511 MemAvailable_kB=3903600 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770380003350580706 MemAvailable_kB=3903632 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770380004353533356 MemAvailable_kB=3902784 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770380005356574572 MemAvailable_kB=3902896 Dirty_kB=32 Writeback_kB=0 Slab_kB=55120 
1770380006359565947 MemAvailable_kB=3900928 Dirty_kB=16 Writeback_kB=0 Slab_kB=55136 
